period,ratio
2025-11-07,75.95307
2025-11-08,73.0909
2025-11-09,76.70381
2025-11-10,79.39002
2025-11-11,78.43988
2025-11-12,76.41055
2025-11-13,70.12316
2025-11-14,60.16422
2025-11-15,56.08211
2025-11-16,60.48093
2025-11-17,65.33724
2025-11-18,58.73313
2025-11-19,56.49266
2025-11-20,51.50733
2025-11-21,47.03812
2025-11-22,44.24633
2025-11-23,47.8475
2025-11-24,49.12609
2025-11-25,45.78299
2025-11-26,42.81524
2025-11-27,42.24046
2025-11-28,34.31085
2025-11-29,36.55131
2025-11-30,39.30791
2025-12-01,39.83577
2025-12-02,43.4956
2025-12-03,35.30791
2025-12-04,34.00586
2025-12-05,32.53958
2025-12-06,29.78299
2025-12-07,32.64516
2025-12-08,35.94134
2025-12-09,34.56891
2025-12-10,34.75659
2025-12-11,31.46041
2025-12-12,27.63636
2025-12-13,26.49853
2025-12-14,31.28445
2025-12-15,29.45454
2025-12-16,30.55718
2025-12-17,25.72434
2025-12-18,27.50733
2025-12-19,21.68914
2025-12-20,21.7478
2025-12-21,25.68914
2025-12-22,24.9736
2025-12-23,20.17595
2025-12-24,18.88563
2025-12-25,21.00879
2025-12-26,21.64222
2025-12-27,24.38709
2025-12-28,24.90322
2025-12-29,25.21994
2025-12-30,18.19354
2025-12-31,17.97067
2026-01-01,19.8475
2026-01-02,22.41642
2026-01-03,18.7214
2026-01-04,20.8563
2026-01-05,20.14076
2026-01-06,20.50439
2026-01-07,18.76832
2026-01-08,21.7126
2026-01-09,19.14369
2026-01-10,16.42228
2026-01-11,20.28152
2026-01-12,19.06158
2026-01-13,21.19648
2026-01-14,22.24046
2026-01-15,18.97947
2026-01-16,15.47214
2026-01-17,17.60703
2026-01-18,18.14662
2026-01-19,19.2258
2026-01-20,18.54545
2026-01-21,13.65395
2026-01-22,13.29032
2026-01-23,12.10557
2026-01-24,13.80645
2026-01-25,13.44281
2026-01-26,16.04692
2026-01-27,15.31964
2026-01-28,14.12316
2026-01-29,13.75953
2026-01-30,11.03812
2026-01-31,10.86217
2026-02-01,14.85043
2026-02-02,13.63049
2026-02-03,15.26099
2026-02-04,11.98826
2026-02-05,14.8739
2026-02-06,12.25806
2026-02-07,11.98826
2026-02-08,13.5953
2026-02-09,14.54545
2026-02-10,13.05571
2026-02-11,10.39296
2026-02-12,9.81818
